iter	Passed	Remaining
0	1	110
1	2	99
2	2	90
3	3	82
4	4	79
5	4	78
6	5	77
7	6	76
8	7	79
9	9	86
10	10	88
11	12	89
12	13	87
13	13	85
14	14	83
15	15	81
16	16	79
17	17	77
18	17	76
19	18	74
20	19	73
21	20	72
22	21	70
23	22	69
24	23	70
25	24	70
26	25	70
27	26	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	59
36	34	58
37	35	57
38	36	56
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	93	1
98	94	0
99	95	0
