iter	Passed	Remaining
0	0	886
1	1	810
2	2	811
3	3	782
4	3	776
5	4	773
6	5	765
7	6	761
8	7	819
9	8	831
10	9	839
11	10	838
12	10	833
13	11	827
14	12	825
15	13	820
16	14	814
17	14	811
18	15	809
19	16	803
20	17	799
21	17	794
22	18	788
23	19	784
24	20	784
25	20	782
26	21	788
27	22	795
28	23	800
29	24	802
30	25	798
31	26	798
32	27	794
33	27	790
34	28	787
35	29	784
36	29	780
37	30	778
38	31	773
39	32	770
40	32	766
41	33	763
42	34	760
43	34	758
44	35	756
45	36	757
46	37	764
47	38	763
48	39	761
49	39	759
50	40	758
51	41	754
52	42	752
53	42	749
54	43	746
55	44	743
56	44	742
57	45	741
58	46	743
59	47	748
60	48	750
61	49	749
62	50	750
63	51	757
64	52	758
65	53	759
66	54	761
67	55	760
68	56	759
69	57	760
70	58	759
71	58	756
72	59	754
73	60	751
74	60	749
75	61	748
76	62	746
77	63	745
78	63	743
79	64	745
80	65	747
81	66	749
82	67	747
83	68	747
84	69	746
85	70	744
86	70	742
87	71	742
88	72	743
89	73	744
90	74	743
91	75	740
92	75	737
93	76	734
94	76	731
95	77	728
96	78	726
97	78	725
98	79	723
99	80	723
100	81	726
101	83	731
102	83	731
103	84	729
104	85	726
105	85	724
106	86	721
107	87	718
108	87	715
109	88	712
110	88	709
111	89	708
112	90	707
113	90	705
114	91	703
115	92	701
116	92	698
117	93	695
118	93	693
119	94	690
120	94	688
121	95	687
122	96	687
123	97	686
124	97	684
125	98	683
126	98	680
127	99	678
128	100	677
129	100	674
130	101	672
131	101	669
132	102	667
133	103	665
134	103	663
135	104	661
136	104	659
137	105	657
138	105	655
139	106	653
140	106	651
141	107	648
142	107	646
143	108	645
144	109	643
145	110	643
146	111	646
147	112	646
148	113	645
149	113	643
150	114	641
151	114	640
152	115	638
153	115	636
154	116	634
155	117	633
156	117	632
157	118	630
158	118	628
159	119	629
160	120	627
161	121	625
162	121	624
163	122	622
164	122	621
165	123	619
166	123	617
167	124	616
168	125	616
169	126	618
170	127	618
171	128	617
172	128	615
173	129	614
174	129	612
175	130	611
176	131	609
177	131	608
178	132	607
179	133	606
180	133	604
181	134	603
182	135	603
183	136	603
184	137	603
185	137	602
186	138	602
187	139	601
188	140	604
189	142	606
190	143	606
191	143	605
192	144	603
193	144	602
194	145	600
195	146	599
196	146	598
197	147	597
198	147	595
199	148	594
200	149	592
201	149	591
202	150	589
203	150	588
204	151	586
205	151	585
206	152	584
207	153	583
208	153	581
209	154	580
210	155	583
211	157	584
212	157	583
213	158	582
214	159	581
215	159	580
216	160	578
217	160	577
218	161	576
219	162	575
220	162	573
221	163	572
222	163	571
223	164	569
